sample_id,source_bundle,derived_bundle,sha256,height,width,token_size,v12_matches_source,safety_weight_map_status,native_gate_status
SCN_dar_0066,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dar_0066.npz,derived_scene_sidecars/SCN_dar_0066_derived.npz,fab81793371b598cc5d8353584d2020842b190788130ca0d80d5c6f65c4b4451,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dar_0067,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dar_0067.npz,derived_scene_sidecars/SCN_dar_0067_derived.npz,bac1242171e0a6efe73430227b61cc37e2f8798156a73242319aba0c8bcd8d5b,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dar_0068,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dar_0068.npz,derived_scene_sidecars/SCN_dar_0068_derived.npz,ee0f9327e0f727bdf4c1675f2dc7d1295d5cac67fb6be9c51bf2ce2c92a33dc4,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dar_0069,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dar_0069.npz,derived_scene_sidecars/SCN_dar_0069_derived.npz,4bd368a8e13c43b2827f874f90b0eead3317a62d8a31e12ebe6d941b835f823c,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dou_0058,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dou_0058.npz,derived_scene_sidecars/SCN_dou_0058_derived.npz,2503dcc8aa817f56073164a118824b8d48d775cffddb8d9e378b0cf1cae1f0c5,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dou_0059,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dou_0059.npz,derived_scene_sidecars/SCN_dou_0059_derived.npz,63731d59e3e13034f4f77e7910e46dbaa0fd64a2f7af58b8301b27555b90146d,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dou_0060,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dou_0060.npz,derived_scene_sidecars/SCN_dou_0060_derived.npz,fce2b02b2032425bcd29d27d2e45b65d2a2fbed161fe27741948f920c85d7924,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dou_0061,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dou_0061.npz,derived_scene_sidecars/SCN_dou_0061_derived.npz,b724c87bcc109f31930c36ee22e7913f6e6d7979a2a874a016143fcd2f4366d4,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dou_0062,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dou_0062.npz,derived_scene_sidecars/SCN_dou_0062_derived.npz,a8de1c26594fbf47ebf2d965fb2e46bba208ce3185da6870c33c565d43ff03ba,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dou_0063,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dou_0063.npz,derived_scene_sidecars/SCN_dou_0063_derived.npz,103779d3d681f2a80087d225d1efcd176e87f7f0c74494cb1b2fbba66c5023f8,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dou_0064,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dou_0064.npz,derived_scene_sidecars/SCN_dou_0064_derived.npz,8a4cd57c3585fbff3ea57f1bf4d77fa0ae7de16ecc9bb4a9b7be4a48e1561b7c,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dou_0065,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dou_0065.npz,derived_scene_sidecars/SCN_dou_0065_derived.npz,e9823a5f92904d83e79f0c57e9a39382c6684a1881aa9e8b30531b9adff56edd,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
SCN_dou_0066,qualitative_benchmark/oa_mae_revision/data/arrays/SCN_dou_0066.npz,derived_scene_sidecars/SCN_dou_0066_derived.npz,5e75396bdf220f36778f66e3c7ed837096f4c4bea9eea45d93c541e0a5e33111,96,96,16,False,required_from_observed_historical_sar,required_from_executed_model
